stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\Users\段欣妤\Dropbox\我的電腦 (LAPTOP-BRB19GHV)\Desktop\大學\程設二\QAQ 2nd mini project\mini project 2 test-1\bin\Debug\allegro5.cfg r
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05438] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05438] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05439] added dtor for sample_instance 0000000002B73DC0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05439] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05440] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05441] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05441] added dtor for sample_instance 0000000002B73CA0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05445] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05446] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05446] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05447] added dtor for sample_instance 0000000002B73940, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05448] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05448] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05449] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05451] added dtor for sample_instance 0000000002B75EB0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05451] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05452] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05453] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05453] added dtor for sample_instance 0000000002B743B0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05454] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05455] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05455] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05456] added dtor for sample_instance 0000000002B75010, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05457] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05457] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05458] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05458] added dtor for sample_instance 0000000002B75130, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05459] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05460] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05460] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05461] added dtor for sample_instance 0000000002B74050, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05461] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05462] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05462] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05463] added dtor for sample_instance 0000000002B75D90, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05464] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05464] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05465] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05466] added dtor for sample_instance 0000000002B75C70, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05467] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05467] 
